age,job,marital,education,default,housing,loan,channel,month,day_of_week,cur_campaign_cnt,prev_campaign_days,prev_campaign_cnt,prev_campaign_outcome,deposit
56,retail,married,other,no,no,no,push,may,mon,1,,0,nonexistent,0
57,services,married,high school,unknown,no,no,push,may,mon,1,,0,nonexistent,0
37,services,married,high school,no,yes,no,push,may,mon,1,,0,nonexistent,0
40,other,married,other,no,no,no,push,may,mon,1,,0,nonexistent,0
56,services,married,high school,no,no,yes,push,may,mon,1,,0,nonexistent,0
45,services,married,other,unknown,no,no,push,may,mon,1,,0,nonexistent,0
59,other,married,graduate/professional,no,no,no,push,may,mon,1,,0,nonexistent,0
41,trade,married,unknown,unknown,no,no,push,may,mon,1,,0,nonexistent,0
24,technology,single,graduate/professional,no,yes,no,push,may,mon,1,,0,nonexistent,0
25,services,single,high school,no,yes,no,push,may,mon,1,,0,nonexistent,0
41,trade,married,unknown,unknown,no,no,push,may,mon,1,,0,nonexistent,0
25,services,single,high school,no,yes,no,push,may,mon,1,,0,nonexistent,0
29,trade,single,high school,no,no,yes,push,may,mon,1,,0,nonexistent,0
57,retail,divorced,other,no,yes,no,push,may,mon,1,,0,nonexistent,0
35,trade,married,other,no,yes,no,push,may,mon,1,,0,nonexistent,0
54,retired,married,other,unknown,yes,yes,push,may,mon,1,,0,nonexistent,0
35,trade,married,other,no,yes,no,push,may,mon,1,,0,nonexistent,0
46,trade,married,other,unknown,yes,yes,push,may,mon,1,,0,nonexistent,0
50,trade,married,other,no,yes,yes,push,may,mon,1,,0,nonexistent,0
39,education,single,other,unknown,no,no,push,may,mon,1,,0,nonexistent,0
30,unemployed,married,high school,no,no,no,push,may,mon,1,,0,nonexistent,0
55,trade,married,other,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
55,retired,single,high school,no,yes,no,push,may,mon,1,,0,nonexistent,0
41,technology,single,high school,no,yes,no,push,may,mon,1,,0,nonexistent,0
37,other,married,high school,no,yes,no,push,may,mon,1,,0,nonexistent,0
35,technology,married,undergraduate,no,no,yes,push,may,mon,1,,0,nonexistent,0
59,technology,married,unknown,no,yes,no,push,may,mon,1,,0,nonexistent,0
39,self-employed,married,other,unknown,no,no,push,may,mon,1,,0,nonexistent,0
54,technology,single,undergraduate,unknown,no,no,push,may,mon,2,,0,nonexistent,0
55,unknown,married,undergraduate,unknown,unknown,unknown,push,may,mon,1,,0,nonexistent,0
46,other,married,unknown,no,no,no,push,may,mon,1,,0,nonexistent,0
59,technology,married,unknown,no,yes,no,push,may,mon,1,,0,nonexistent,0
49,trade,married,unknown,no,no,no,push,may,mon,1,,0,nonexistent,0
54,education,married,other,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
54,trade,divorced,other,no,no,no,push,may,mon,1,,0,nonexistent,0
55,unknown,married,other,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
34,services,married,high school,no,no,no,push,may,mon,1,,0,nonexistent,0
52,technology,married,other,no,yes,no,push,may,mon,1,,0,nonexistent,0
41,other,married,undergraduate,no,yes,no,push,may,mon,1,,0,nonexistent,0
56,technology,married,other,no,yes,no,push,may,mon,1,,0,nonexistent,0
58,education,unknown,undergraduate,no,yes,no,push,may,mon,1,,0,nonexistent,0
32,business,married,high school,no,yes,no,push,may,mon,1,,0,nonexistent,0
38,other,single,graduate/professional,no,no,no,push,may,mon,1,,0,nonexistent,0
57,other,married,undergraduate,no,no,yes,push,may,mon,1,,0,nonexistent,0
44,other,married,undergraduate,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
42,technology,single,graduate/professional,unknown,no,no,push,may,mon,1,,0,nonexistent,0
57,other,married,undergraduate,no,yes,yes,push,may,mon,1,,0,nonexistent,0
40,trade,married,other,no,no,yes,push,may,mon,1,,0,nonexistent,0
35,other,married,undergraduate,no,yes,no,push,may,mon,1,,0,nonexistent,0
45,trade,married,other,no,yes,no,push,may,mon,2,,0,nonexistent,0
54,other,married,high school,no,no,no,push,may,mon,1,,0,nonexistent,0
39,retail,married,other,no,no,yes,push,may,mon,1,,0,nonexistent,0
60,other,married,high school,no,no,no,push,may,mon,1,,0,nonexistent,0
53,other,single,graduate/professional,no,no,no,push,may,mon,1,,0,nonexistent,0
55,trade,married,other,unknown,no,no,push,may,mon,2,,0,nonexistent,0
55,technology,married,graduate/professional,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
50,education,married,undergraduate,unknown,no,yes,push,may,mon,1,,0,nonexistent,0
45,services,married,high school,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
55,unemployed,married,graduate/professional,unknown,yes,yes,push,may,mon,1,,0,nonexistent,0
25,technology,single,undergraduate,no,yes,no,push,may,mon,1,,0,nonexistent,0
47,business,married,undergraduate,unknown,no,no,push,may,mon,1,,0,nonexistent,0
51,trade,married,other,no,yes,no,push,may,mon,1,,0,nonexistent,0
42,trade,married,other,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
42,trade,married,other,unknown,no,no,push,may,mon,1,,0,nonexistent,0
48,other,married,high school,no,no,no,push,may,mon,1,,0,nonexistent,0
37,other,married,undergraduate,no,no,no,push,may,mon,1,,0,nonexistent,0
44,trade,single,other,no,yes,no,push,may,mon,1,,0,nonexistent,0
33,other,married,unknown,no,yes,no,push,may,mon,1,,0,nonexistent,0
56,other,married,other,no,yes,no,push,may,mon,2,,0,nonexistent,0
44,trade,single,other,unknown,yes,yes,push,may,mon,1,,0,nonexistent,0
41,education,married,other,no,no,no,push,may,mon,1,,0,nonexistent,0
44,education,divorced,undergraduate,no,yes,no,push,may,mon,1,,0,nonexistent,0
47,other,married,undergraduate,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
57,unknown,married,unknown,unknown,no,no,push,may,mon,1,,0,nonexistent,0
37,other,married,undergraduate,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
41,trade,divorced,other,unknown,yes,no,push,may,mon,1,,0,nonexistent,1
55,technology,married,undergraduate,no,no,no,push,may,mon,1,,0,nonexistent,0
33,services,married,high school,unknown,yes,no,push,may,mon,2,,0,nonexistent,0
55,education,married,unknown,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
42,trade,married,other,unknown,no,no,push,may,mon,1,,0,nonexistent,0
50,trade,married,other,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
51,trade,married,other,unknown,unknown,unknown,push,may,mon,1,,0,nonexistent,0
38,other,married,high school,unknown,no,no,push,may,mon,2,,0,nonexistent,0
49,business,married,undergraduate,unknown,yes,no,push,may,mon,1,,0,nonexistent,1
38,technology,single,undergraduate,no,no,yes,push,may,mon,1,,0,nonexistent,0
31,other,divorced,high school,no,no,no,push,may,mon,1,,0,nonexistent,0
41,education,married,other,no,no,no,push,may,mon,2,,0,nonexistent,0
39,other,married,undergraduate,no,yes,yes,push,may,mon,1,,0,nonexistent,0
49,technology,married,other,no,no,no,push,may,mon,1,,0,nonexistent,1
34,other,married,high school,no,yes,no,push,may,mon,2,,0,nonexistent,0
35,other,married,undergraduate,no,yes,no,push,may,mon,2,,0,nonexistent,0
57,unknown,married,unknown,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
60,other,married,unknown,unknown,no,yes,push,may,mon,2,,0,nonexistent,0
33,unemployed,married,other,no,no,no,push,may,mon,1,,0,nonexistent,0
42,trade,married,other,no,no,yes,push,may,mon,1,,0,nonexistent,0
45,services,married,graduate/professional,no,yes,no,push,may,mon,1,,0,nonexistent,0
42,education,married,undergraduate,no,no,no,push,may,mon,1,,0,nonexistent,0
53,other,divorced,undergraduate,unknown,no,no,push,may,mon,1,,0,nonexistent,0
37,technology,single,graduate/professional,no,no,no,push,may,mon,1,,0,nonexistent,0
44,trade,married,other,no,no,no,push,may,mon,1,,0,nonexistent,0
54,services,married,unknown,no,yes,no,push,may,mon,1,,0,nonexistent,0
49,trade,married,other,no,no,no,push,may,mon,3,,0,nonexistent,0
54,services,married,unknown,no,no,no,push,may,mon,1,,0,nonexistent,0
52,other,divorced,undergraduate,no,no,no,push,may,mon,1,,0,nonexistent,0
52,other,divorced,undergraduate,no,no,no,push,may,mon,1,,0,nonexistent,0
43,services,single,high school,unknown,no,no,push,may,mon,1,,0,nonexistent,0
34,retail,married,other,no,yes,no,push,may,mon,2,,0,nonexistent,0
35,other,married,high school,no,yes,no,push,may,mon,2,,0,nonexistent,0
42,business,married,unknown,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
43,technology,married,unknown,unknown,yes,yes,push,may,mon,1,,0,nonexistent,0
60,retired,divorced,undergraduate,unknown,no,no,push,may,mon,1,,0,nonexistent,0
58,unemployed,married,other,unknown,no,no,push,may,mon,2,,0,nonexistent,0
35,services,divorced,high school,no,yes,no,push,may,mon,1,,0,nonexistent,0
55,trade,married,other,unknown,yes,no,push,may,mon,2,,0,nonexistent,0
37,education,married,undergraduate,no,no,no,push,may,mon,2,,0,nonexistent,0
36,trade,married,high school,no,no,no,push,may,mon,1,,0,nonexistent,0
52,other,divorced,undergraduate,no,no,no,push,may,mon,2,,0,nonexistent,0
57,trade,divorced,unknown,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
56,other,married,unknown,no,yes,no,push,may,mon,1,,0,nonexistent,0
48,trade,divorced,other,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
40,trade,married,high school,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
49,trade,divorced,high school,no,no,no,push,may,mon,1,,0,nonexistent,0
41,services,married,high school,no,no,no,push,may,mon,1,,0,nonexistent,0
45,technology,married,high school,no,yes,no,push,may,mon,1,,0,nonexistent,0
32,other,married,undergraduate,no,yes,yes,push,may,mon,1,,0,nonexistent,0
42,other,married,undergraduate,no,no,yes,push,may,mon,2,,0,nonexistent,0
50,other,married,other,no,no,no,push,may,mon,1,,0,nonexistent,0
31,technology,divorced,graduate/professional,no,yes,yes,push,may,mon,1,,0,nonexistent,0
56,retired,married,other,no,yes,no,push,may,mon,2,,0,nonexistent,0
41,technology,married,graduate/professional,unknown,yes,no,push,may,mon,1,,0,nonexistent,1
37,trade,married,other,no,yes,yes,push,may,mon,1,,0,nonexistent,0
41,technology,married,graduate/professional,unknown,no,no,push,may,mon,1,,0,nonexistent,0
35,trade,married,unknown,no,yes,no,push,may,mon,1,,0,nonexistent,0
37,trade,married,other,no,yes,no,push,may,mon,1,,0,nonexistent,0
52,education,married,undergraduate,no,no,no,push,may,mon,1,,0,nonexistent,0
39,education,divorced,undergraduate,no,no,no,push,may,mon,1,,0,nonexistent,0
39,retail,married,other,unknown,no,no,push,may,mon,2,,0,nonexistent,0
56,trade,married,other,unknown,no,no,push,may,mon,2,,0,nonexistent,0
34,services,married,high school,no,yes,no,push,may,mon,2,,0,nonexistent,0
45,trade,married,other,unknown,yes,no,push,may,mon,1,,0,nonexistent,1
43,unemployed,single,undergraduate,no,yes,no,push,may,mon,1,,0,nonexistent,0
56,education,married,unknown,no,yes,no,push,may,mon,1,,0,nonexistent,0
39,education,married,undergraduate,no,yes,no,push,may,mon,1,,0,nonexistent,0
53,trade,married,other,no,yes,no,push,may,mon,1,,0,nonexistent,0
38,unknown,divorced,high school,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
42,trade,married,other,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
42,trade,married,other,unknown,no,no,push,may,mon,1,,0,nonexistent,0
35,other,single,high school,no,yes,no,push,may,mon,1,,0,nonexistent,0
40,other,married,undergraduate,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
51,trade,married,other,no,yes,no,push,may,mon,1,,0,nonexistent,0
60,trade,married,other,unknown,no,no,push,may,mon,1,,0,nonexistent,0
56,business,married,unknown,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
39,services,divorced,high school,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
56,business,married,unknown,unknown,no,no,push,may,mon,1,,0,nonexistent,0
40,trade,married,unknown,no,yes,yes,push,may,mon,1,,0,nonexistent,0
36,trade,married,other,no,yes,yes,push,may,mon,1,,0,nonexistent,0
51,trade,married,unknown,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
51,trade,married,unknown,unknown,no,no,push,may,mon,1,,0,nonexistent,0
43,technology,single,graduate/professional,no,yes,no,push,may,mon,2,,0,nonexistent,0
59,services,married,high school,no,no,no,push,may,mon,2,,0,nonexistent,0
24,education,single,undergraduate,no,yes,no,push,may,mon,2,,0,nonexistent,0
37,trade,single,other,unknown,yes,yes,push,may,mon,2,,0,nonexistent,0
40,trade,married,other,unknown,no,no,push,may,mon,1,,0,nonexistent,0
42,trade,married,other,unknown,no,no,push,may,mon,3,,0,nonexistent,0
39,services,divorced,high school,unknown,no,no,push,may,mon,1,,0,nonexistent,0
37,business,married,other,no,no,no,push,may,mon,1,,0,nonexistent,0
38,services,married,high school,no,yes,yes,push,may,mon,1,,0,nonexistent,0
56,other,divorced,unknown,unknown,no,no,push,may,mon,2,,0,nonexistent,0
40,trade,married,unknown,no,no,no,push,may,mon,2,,0,nonexistent,0
54,education,divorced,undergraduate,no,yes,no,push,may,mon,2,,0,nonexistent,0
43,trade,married,high school,unknown,no,yes,push,may,mon,1,,0,nonexistent,0
36,services,married,high school,unknown,no,no,push,may,mon,1,,0,nonexistent,0
45,technology,married,undergraduate,no,yes,yes,push,may,mon,1,,0,nonexistent,0
42,other,single,undergraduate,unknown,no,no,push,may,mon,1,,0,nonexistent,0
43,services,married,high school,no,no,no,push,may,mon,3,,0,nonexistent,0
46,education,married,other,no,no,no,push,may,mon,2,,0,nonexistent,0
44,services,married,high school,no,yes,yes,push,may,mon,1,,0,nonexistent,0
51,other,single,other,no,no,no,push,may,mon,2,,0,nonexistent,0
28,services,married,high school,no,yes,no,push,may,mon,1,,0,nonexistent,0
37,trade,married,other,no,no,no,push,may,mon,1,,0,nonexistent,0
34,technology,married,high school,no,no,no,push,may,mon,1,,0,nonexistent,0
46,trade,married,other,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
42,trade,married,other,no,yes,yes,push,may,mon,2,,0,nonexistent,1
36,other,married,undergraduate,no,yes,no,push,may,mon,3,,0,nonexistent,0
54,trade,married,other,unknown,no,no,push,may,mon,1,,0,nonexistent,0
57,education,married,undergraduate,no,no,no,push,may,mon,1,,0,nonexistent,0
51,technology,married,other,unknown,no,no,push,may,mon,1,,0,nonexistent,0
54,retired,married,high school,unknown,no,no,push,may,mon,1,,0,nonexistent,0
49,trade,married,other,unknown,no,no,push,may,mon,1,,0,nonexistent,0
34,other,married,undergraduate,no,yes,no,push,may,mon,1,,0,nonexistent,0
41,technology,married,graduate/professional,no,no,no,push,may,mon,1,,0,nonexistent,0
38,trade,single,other,no,yes,no,push,may,mon,2,,0,nonexistent,0
45,education,divorced,undergraduate,no,no,no,push,may,mon,2,,0,nonexistent,0
42,technology,married,undergraduate,no,no,no,push,may,mon,2,,0,nonexistent,0
34,trade,single,other,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
48,trade,married,other,no,yes,no,push,may,mon,1,,0,nonexistent,0
37,other,married,high school,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
34,trade,single,other,unknown,no,no,push,may,mon,1,,0,nonexistent,0
40,other,married,other,unknown,yes,no,push,may,mon,2,,0,nonexistent,0
43,trade,married,other,no,yes,no,push,may,mon,1,,0,nonexistent,0
33,services,married,high school,no,no,no,push,may,mon,2,,0,nonexistent,0
32,services,single,other,no,no,no,push,may,mon,1,,0,nonexistent,0
39,trade,married,high school,no,yes,no,push,may,mon,2,,0,nonexistent,0
43,other,married,unknown,no,no,no,push,may,mon,1,,0,nonexistent,0
44,trade,married,other,no,yes,no,push,may,mon,1,,0,nonexistent,0
35,student,single,undergraduate,unknown,no,no,push,may,mon,1,,0,nonexistent,0
35,student,single,undergraduate,unknown,yes,yes,push,may,mon,1,,0,nonexistent,0
35,unemployed,married,graduate/professional,no,no,no,push,may,mon,1,,0,nonexistent,0
36,services,single,other,no,no,no,push,may,mon,1,,0,nonexistent,0
35,student,single,undergraduate,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
36,student,single,other,no,yes,no,push,may,mon,1,,0,nonexistent,0
55,retail,divorced,undergraduate,no,no,no,push,may,mon,1,,0,nonexistent,0
59,other,married,undergraduate,no,no,no,push,may,mon,1,,0,nonexistent,0
57,retired,married,unknown,unknown,no,no,push,may,mon,2,,0,nonexistent,0
39,trade,married,graduate/professional,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
39,retail,married,other,unknown,yes,no,push,may,mon,2,,0,nonexistent,0
30,trade,single,unknown,no,yes,no,push,may,mon,1,,0,nonexistent,0
30,trade,single,unknown,no,yes,yes,push,may,mon,1,,0,nonexistent,0
50,retail,married,other,unknown,no,no,push,may,mon,1,,0,nonexistent,0
40,services,married,high school,no,no,no,push,may,mon,3,,0,nonexistent,0
35,other,married,high school,no,yes,no,push,may,mon,2,,0,nonexistent,0
43,technology,married,unknown,unknown,no,no,push,may,mon,2,,0,nonexistent,0
36,services,single,other,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
46,technology,married,other,unknown,yes,no,push,may,mon,1,,0,nonexistent,0
40,technology,married,other,no,no,no,push,may,mon,1,,0,nonexistent,0
58,retired,married,undergraduate,no,no,no,push,may,mon,1,,0,nonexistent,0
42,technology,married,undergraduate,no,no,no,push,may,mon,2,,0,nonexistent,0
35,other,single,undergraduate,no,no,no,push,may,mon,2,,0,nonexistent,0
43,retired,married,other,unknown,no,no,push,may,mon,3,,0,nonexistent,0
45,trade,married,other,no,yes,yes,push,may,mon,1,,0,nonexistent,0
39,other,married,graduate/professional,no,yes,no,push,may,mon,2,,0,nonexistent,0
50,services,divorced,graduate/professional,no,yes,no,push,may,mon,1,,0,nonexistent,0
32,education,divorced,other,unknown,yes,no,push,may,mon,2,,0,nonexistent,0
39,other,married,high school,unknown,no,no,push,may,mon,1,,0,nonexistent,0
52,self-employed,married,undergraduate,unknown,no,no,push,may,mon,1,,0,nonexistent,0
44,other,married,graduate/professional,no,yes,no,push,may,mon,1,,0,nonexistent,0
56,trade,married,other,no,no,no,push,may,mon,1,,0,nonexistent,0
48,other,married,high school,no,no,no,push,may,mon,2,,0,nonexistent,0
33,services,married,high school,unknown,no,yes,push,may,mon,2,,0,nonexistent,0
43,education,married,undergraduate,unknown,no,yes,push,may,mon,3,,0,nonexistent,0
57,retired,married,high school,no,no,no,push,may,mon,2,,0,nonexistent,0
36,technology,single,graduate/professional,no,no,no,push,may,mon,1,,0,nonexistent,0
34,education,married,undergraduate,no,yes,no,push,may,mon,1,,0,nonexistent,0
34,services,single,other,no,no,no,push,may,mon,2,,0,nonexistent,0
30,technology,married,undergraduate,unknown,no,no,push,may,mon,1,,0,nonexistent,0
33,services,divorced,unknown,no,no,no,push,may,mon,2,,0,nonexistent,0
32,technology,single,graduate/professional,no,no,no,push,may,mon,1,,0,nonexistent,0
36,technology,single,high school,no,yes,no,push,may,mon,2,,0,nonexistent,0
36,trade,single,high school,no,no,yes,push,may,mon,1,,0,nonexistent,0
33,services,single,high school,no,no,no,push,may,mon,1,,0,nonexistent,0
40,technology,divorced,graduate/professional,no,no,no,push,may,mon,1,,0,nonexistent,0
41,trade,married,other,no,yes,no,push,may,mon,1,,0,nonexistent,0
51,services,married,other,no,yes,no,push,may,mon,1,,0,nonexistent,0
